abak	áː b a k
rotovž	r óː t ɔ ʋ ʃ
rovka	r ɔ́ː ʋ k a
rozman	r óː z m a n
roža	r óː ʒ a
roževina	r ɔ ʒ ɛ ʋ ìː n a
rožmarin	r óː ʒ m a r i n
rožmarin	r ɔ ʒ m a r íː n
rubidij	r u b ìː d i j
ruda	r ùː d a
rudar	r u d àː r
rudnik	r úː d n i k
rumen	r u m ɛ́ n
rumenjak	r u m ɛ n j àː k
runo	r ùː n ɔ
runo	r úː n ɔ
rus	r úː s
rusija	r úː s i j a
rusinja	r úː s i n j a
ruski	r úː s k i
rusko	r úː s k ɔ
rutenij	r u t èː n i j
ruti	r ùː t i
ruvati	r u ʋ àː t i
ruvati	r ùː ʋ a t i
ruvati	r úː ʋ a t i
ruščina	r úː ʃ t͡ʃ i n a
rvati	ə r ʋ àː t i
rž	ə́ r ʃ
s	s
sablja	s áː b l j a
sabotaža	s a b ɔ t áː ʒ a
sad	s áː t
sadež	s áː d ɛ ʃ
sadje	s àː d j ɛ
sadovnjak	s a d ɔ ʋ n j àː k
saksofon	s a k s ɔ f óː n
sam	s áː m
samarij	s a m àː r i j
samec	s àː m ə t͡s
samoglasnik	s a m ɔ ɡ l áː s n i k
samomnožinski	s a m óː m n ɔ ʒ íː n s k i
samomor	s a m ɔ m ɔ́ r
samorog	s a m ɔ r óː k
samostalnik	s a m ɔ s t áː l n i k
samostalniški	s a m ɔ s t áː l n i ʃ k i
samostan	s a m ɔ s t áː n
samota	s a m ɔ̀ː t a
samozadovoljevanje	s áː m ɔ z a d ɔ ʋ ɔ l j ɛ ʋ àː n j ɛ
samozadovoljevati	s áː m ɔ z a d ɔ ʋ ɔ l j ɛ ʋ àː t i
samum	s a m úː m
sanjati	s àː n j a t i
sanje	s àː n j ɛ
sanskrt	s a n s k ə́ r t
sapnik	s áː p n i k
sardinija	s a r d ìː n i j a
satelit	s a t ɛ l íː t
saturn	s a t ùː r n
scenarij	s t͡s ɛ n àː r i j
sedanjik	s ə d àː n j i k
sedanjik	s ə d áː n j i k
sedanjik	s ɛ d àː n j i k
sedanjik	s ɛ d áː n j i k
sedem	s èː d ə m
sedemdeset	s èː d ə m d ɛ s ɛ t
sedemnajst	s èː d ə m n a j s t
sedemnajst	s ɛ d ə m n àː j s t
sedeti	s ɛ d èː t i
sedlo	s ɛ̀ː d l ɔ
sef	s éː f
sejati	s ɛ j àː t i
sejšeli	s ɛ j ʃ éː l i
sekalec	s ɛ k áː l ə t͡s
sekira	s ɛ k ìː r a
seks	s éː k s
seksati	s éː k s a t i
seksologija	s ɛ k s ɔ l ɔ ɡ ìː j a
seksualen	s ɛ k s u áː l ə n
seksualnost	s ɛ k s u áː l n ɔ s t
sekunda	s ɛ k úː n d a
sel	s ə́ l
sel	s ə́ ʋ
selen	s ɛ l éː n
sem	s ə́ m
seme	s èː m ɛ
semenovod	s ɛ m ɛ n ɔ ʋ ɔ́ t
semenski	s èː m ɛ n s k i
semenski	s ɛ m éː n s k i
senca	s éː n t͡s a
sendvič	s éː n d ʋ i t͡ʃ
seno	s ɛ n óː
senožet	s ɛ n ɔ ʒ éː t
senožet	s ɛ n ɔ̀ː ʒ ɛ t
september	s ɛ p t ɛ̀ː m b ə r
sesalec	s ə s áː l ə t͡s
sesalec	s ɛ s áː l ə t͡s
sesati	s ə s àː t i
sesati	s ɛ s àː t i
sesti	s èː s t i
sestra	s ɛ̀ː s t r a
sestrična	s ɛ s t r íː t͡ʃ n a
seveda	s ɛ ʋ éː d a
sever	s èː ʋ ɛ r
severen	s èː ʋ ɛ r ə n
severnejši	s èː ʋ ɛ r n ɛ j ʃ i
seznam	s ə z n á m
seznam	s ə z n áː m
seznam	s ɛ z n á m
seznam	s ɛ z n áː m
sezuti	s ə z ùː t i
sezuti	s ɛ z ùː t i
seč	s éː t͡ʃ
seči	s èː t͡ʃ i
sečnica	s éː t͡ʃ n i t͡s a
sečničen	s éː t͡ʃ n i t͡ʃ ə n
shizofrenija	s x i z ɔ f r ɛ n íː j a
si	s i
si	s í
sibirija	s i b ìː r i j a
sicilija	s i t͡s ìː l i j a
sidro	s ìː d r ɔ
sidro	s íː d r ɔ
sila	s ìː l a
silicij	s i l ìː t͡s i j
simbol	s i m b óː l
simboličen	s i m b òː l i t͡ʃ ə n
simetrija	s i m ɛ t r íː j a
sin	s íː n
sinhron	s i n x r óː n
sinhrono	s i n x r óː n ɔ
sinica	s i n ìː t͡s a
sinonim	s i n ɔ n íː m
sinoči	s i n óː t͡ʃ i
sir	s í r
sirija	s ìː r i j a
sirilo	s i r ìː l ɔ
siriti	s ìː r i t i
siriščnik	s i r íː ʃ t͡ʃ n i k
sirotka	s ìː r ɔ t k a
sistem	s i s t éː m
sit	s í t
siv	s íː ʋ
skakač	s k a k àː t͡ʃ
skala	s k àː l a
skandij	s k àː n d i j
skladnja	s k l àː d n j a
sklanjatev	s k l a n j áː t ə ʋ
skleda	s k l èː d a
sklon	s k l ɔ́ n
skodelica	s k ɔ d éː l i t͡s a
skoraj	s k ɔ̀ː r a j
skoraj	s k ɔ́ː r a j
skorbut	s k ɔ r b úː t
skorja	s k òː r j a
skorja	s k óː r j a
skočiti	s k ɔ t͡ʃ ìː t i
skočiti	s k ɔ t͡ʃ íː t i
skriti	s k r ìː t i
skrivati	s k r ìː ʋ a t i
skriven	s k r íː ʋ ə n
skrivnejši	s k r íː ʋ n ɛ j ʃ i
skrivnost	s k r i ʋ n óː s t
skrivnosten	s k r i ʋ n óː s t ə n
skrivnostnejši	s k r i ʋ n óː s t n ɛ j ʃ i
skromen	s k r ɔ̀ː m ə n
skromnejši	s k r ɔ̀ː m n ɛ j ʃ i
skrotum	s k r óː t u m
skupaj	s k úː p a j
skupina	s k u p ìː n a
skupnost	s k ùː p n ɔ s t
skupnost	s k úː p n ɔ s t
skusiti	s k ùː s i t i
skuša	s k ùː ʃ a
slab	s l á p
slabo	s l a b óː
slabše	s l áː p ʃ ɛ
slabši	s l áː p ʃ i
slad	s l áː t
sladejši	s l a d ɛ́ː j ʃ i
sladek	s l àː d ə k
sladkor	s l àː t k ɔ r
sladoled	s l a d ɔ l éː t
slajši	s l áː j ʃ i
slamica	s l àː m i t͡s a
slan	s l áː n
slanina	s l a n ìː n a
slap	s l áː p
slava	s l àː ʋ a
slavec	s l àː ʋ ə t͡s
slaven	s l àː ʋ ə n
slaščičarna	s l a ʃ t͡ʃ i t͡ʃ áː r n a
slediti	s l ɛ d ìː t i
slediti	s l ɛ d íː t i
slep	s l éː p
slezenovec	s l ɛ z éː n ɔ ʋ ə t͡s
sleči	s l èː t͡ʃ i
slika	s l íː k a
slikar	s l i k àː r
slikati	s l íː k a t i
slina	s l ìː n a
sliva	s l ìː ʋ a
slivovka	s l ìː ʋ ɔ ʋ k a
slišati	s l ìː ʃ a t i
sljuda	s l j ùː d a
sloka	s l òː k a
sloka	s l óː k a
slon	s l ɔ́ n
slonica	s l ɔ n ìː t͡s a
slonica	s l ɔ̀ː n i t͡s a
slonovina	s l ɔ n ɔ ʋ ìː n a
slop	s l ɔ́ p
slovak	s l ɔ ʋ àː k
slovakinja	s l ɔ ʋ àː k i n j a
slovan	s l ɔ ʋ áː n
slovanka	s l ɔ ʋ áː n k a
slovanski	s l ɔ ʋ áː n s k i
slovar	s l ɔ ʋ àː r
slovaška	s l ɔ ʋ áː ʃ k a
slovaški	s l ɔ ʋ áː ʃ k i
slovaško	s l ɔ ʋ áː ʃ k ɔ
slovaščina	s l ɔ ʋ áː ʃ t͡ʃ i n a
slovenec	s l ɔ ʋ èː n ə t͡s
slovenija	s l ɔ ʋ èː n i j a
slovenka	s l ɔ ʋ èː n k a
slovenski	s l ɔ ʋ èː n s k i
slovensko	s l ɔ ʋ èː n s k ɔ
slovenščina	s l ɔ ʋ èː n ʃ t͡ʃ i n a
sloveti	s l ɔ ʋ èː t i
slovnica	s l ɔ́ː ʋ n i t͡s a
slovničen	s l ɔ́ː ʋ n i t͡ʃ ə n
slovo	s l ɔ ʋ óː
sluti	s l ùː t i
slušati	s l ùː ʃ a t i
služba	s l úː ʒ b a
smeh	s m éː x
smejati	s m ɛ j àː t i
smel	s m éː ʋ
smelejši	s m èː l ɛ j ʃ i
smer	s m éː r
smet	s m éː t
smetana	s m èː t a n a
smeti	s m èː t i
smisel	s m íː s ə ʋ
smo	s m ɔ́
smodnik	s m ɔ d n ìː k
smola	s m ɔ̀ː l a
smreka	s m r èː k a
smrt	s m ə́ r t
smrtonosen	s m ə r t ɔ n ɔ̀ː s ə n
smučati	s m úː t͡ʃ a t i
snaha	s n àː x a
sneg	s n éː k
sneguljčica	s n ɛ ɡ úː l t͡ʃ i t͡s a
sneti	s n èː t i
snežak	s n ɛ ʒ àː k
snežinka	s n ɛ ʒ íː n k a
snežiti	s n ɛ ʒ ìː t i
snežiti	s n ɛ ʒ íː t i
snovati	s n ɔ ʋ àː t i
snuti	s n ùː t i
so	s ɔ́
soba	s ɔ̀ː b a
sobana	s ɔ b àː n a
sobota	s ɔ b òː t a
socializem	s ɔ t͡s i j a l ìː z ə m
socvetje	s ɔ t͡s ʋ éː t j ɛ
sod	s óː t
sodnik	s ɔ d n ìː k
sodoben	s ɔ d ɔ̀ː b ə n
sodobnejši	s ɔ d ɔ̀ː b n ɛ j ʃ i
sok	s óː k
sokol	s ɔ̀ː k ɔ l
sokrat	s óː k r a t
sol	s óː ʋ
solaren	s ɔ l áː r ə n
solza	s ɔ̀ː ʋ z a
sonatina	s ɔ n a t íː n a
sonce	s óː n t͡s ɛ
sonet	s ɔ n éː t
sončen	s óː n t͡ʃ ə n
sončnejši	s óː n t͡ʃ n ɛ j ʃ i
sončnica	s óː n t͡ʃ n i t͡s a
sončnik	s óː n t͡ʃ n i k
sopomenka	s ɔ́ p ɔ m éː n k a
soprog	s ɔ p r óː k
sorojenec	s ɔ́ r ɔ j ɛ̀ː n ə t͡s
sosed	s òː s ɛ t
sosed	s ɔ̀ː s ɛ t
sova	s ɔ̀ː ʋ a
sovraštvo	s ɔ ʋ r áː ʃ t ʋ ɔ
sovražiti	s ɔ ʋ r a ʒ ìː t i
sovražiti	s ɔ ʋ r a ʒ íː t i
sovražiti	s ɔ ʋ r àː ʒ i t i
sovražiti	s ɔ ʋ r áː ʒ i t i
sovražnik	s ɔ ʋ r áː ʒ n i k
soča	s òː t͡ʃ a
spalnica	s p áː l n i t͡s a
spam	s p ɛ́ː m
spati	s p àː t i
spem	s p ɛ́ː m
sperma	s p ɛ́ː r m a
spet	s p éː t
speti	s p èː t i
splošen	s p l ɔ̀ː ʃ ə n
splošnejši	s p l ɔ̀ː ʃ n ɛ j ʃ i
spodaj	s p ɔ̀ː d a j
spodoben	s p ɔ d òː b ə n
spodobnejši	s p ɔ d òː b n ɛ j ʃ i
spogledovati	s p ɔ ɡ l ɛ d ɔ ʋ àː t i
spojina	s p ɔ j ìː n a
spol	s p ɔ́ l
spolovilo	s p ɔ l ɔ ʋ ìː l ɔ
spomin	s p ɔ m íː n
spominjati	s p ɔ m ìː n j a t i
spominčica	s p ɔ m íː n t͡ʃ i t͡s a
spomniti	s p óː m n i t i
sporočilo	s p ɔ r ɔ t͡ʃ ìː l ɔ
sposoditi	s p ɔ s òː d i t i
sposoditi	s p ɔ s ɔ d ìː t i
sposoditi	s p ɔ s ɔ d íː t i
spoznati	s p ɔ z n àː t i
spregatev	s p r ɛ ɡ áː t ə ʋ
sprememba	s p r ɛ m éː m b a
spremeniti	s p r ɛ m ɛ n ìː t i
spremeniti	s p r ɛ m ɛ n íː t i
spretnost	s p r èː t n ɔ s t
sprevodnik	s p r ɛ ʋ óː d n i k
spustiti	s p u s t ìː t i
spustiti	s p u s t íː t i
srajca	s r àː j t͡s a
sraka	s r àː k a
sranje	s r àː n j ɛ
sranje	s r áː n j ɛ
srati	s r àː t i
srb	s ə́ r p
srbija	s ə́ r b i j a
srbkinja	s ə́ r p k i n j a
srbohrvaški	s ə r b ɔ x ə r ʋ áː ʃ k i
srbohrvaščina	s ə r b ɔ x ə r ʋ áː ʃ t͡ʃ i n a
srbski	s ə́ r p s k i
srbščina	s ə́ r p ʃ t͡ʃ i n a
srce	s ə r t͡s éː
srebrn	s r ɛ b ə́ r n
srebrnina	s r ɛ b ə r n ìː n a
srebro	s r ɛ b r óː
sreda	s r éː d a
sredinec	s r ɛ d íː n ə t͡s
središče	s r ɛ d ìː ʃ t͡ʃ ɛ
srednjevaloven	s r ɛ d n j ɛ ʋ a l ɔ́ː ʋ ə n
srednjeveški	s r ɛ d n j ɛ ʋ éː ʃ k i
srednji	s r éː d n j i
sreča	s r èː t͡ʃ a
srečati	s r éː t͡ʃ a t i
srečen	s r èː t͡ʃ ə n
srečneje	s r èː t͡ʃ n ɛ j ɛ
srečneje	s r ɛ t͡ʃ n ɛ́ː j ɛ
srečnejše	s r èː t͡ʃ n ɛ j ʃ ɛ
srečnejše	s r ɛ t͡ʃ n ɛ́ː j ʃ ɛ
srečnejši	s r èː t͡ʃ n ɛ j ʃ i
srečnejši	s r ɛ t͡ʃ n ɛ́ː j ʃ i
srečno	s r èː t͡ʃ n ɔ
srna	s ə̀ r n a
srp	s ə́ r p
sršen	s ə r ʃ éː n
sršen	s ə r ʃ ɛ́ n
sršen	s ə̀ r ʃ ɛ n
sta	s t á
stanje	s t àː n j ɛ
stanovati	s t a n ɔ ʋ àː t i
star	s t á r
starec	s t áː r ə t͡s
starejši	s t a r ɛ́ː j ʃ i
starka	s t áː r k a
starodaven	s t a r ɔ d àː ʋ ə n
starost	s t a r óː s t
starost	s t àː r ɔ s t
stati	s t àː t i
stavba	s t áː ʋ b a
stavek	s t áː ʋ ə k
staviti	s t àː ʋ i t i
ste	s t ɛ́
stegno	s t ɛ̀ː ɡ n ɔ
steklenica	s t ɛ k l ɛ n ìː t͡s a
steklo	s t ɛ̀ː k l ɔ
stena	s t èː n a
stetoskop	s t ɛ t ɔ s k óː p
stetoskop	s t ɛ t ɔ s k ɔ́ p
steza	s t ə z á
steza	s t ə̀ z a
stikalo	s t i k àː l ɔ
sto	s t óː
stol	s t ɔ́ ʋ
stoletje	s t ɔ l éː t j ɛ
stolp	s t ɔ́ l p
stopalo	s t ɔ p àː l ɔ
stopiti	s t òː p i t i
stopiti	s t ɔ p ìː t i
stopiti	s t ɔ p íː t i
stopnišče	s t ɔ p n ìː ʃ t͡ʃ ɛ
stotnica	s t óː t n i t͡s a
stotnik	s t óː t n i k
stožec	s t òː ʒ ə t͡s
stožec	s t ɔ̀ː ʒ ə t͡s
strah	s t r áː x
stran	s t r áː n
stranišče	s t r a n ìː ʃ t͡ʃ ɛ
stranka	s t r áː n k a
strast	s t r áː s t
strasten	s t r àː s t ə n
strastnejši	s t r àː s t n ɛ j ʃ i
strategija	s t r a t ɛ ɡ íː j a
streha	s t r èː x a
strela	s t r èː l a
streči	s t r èː t͡ʃ i
strešica	s t r èː ʃ i t͡s a
strgati	s t ə̀ r ɡ a t i
stric	s t r ìː t͡s
striči	s t r ìː t͡ʃ i
strog	s t r óː k
stroj	s t r ɔ́ j
strojen	s t r ɔ́ː j ə n
strojiti	s t r òː j i t i
strojiti	s t r óː j i t i
strojiti	s t r ɔ j ìː t i
strojiti	s t r ɔ j íː t i
stroncij	s t r òː n t͡s i j
strop	s t r ɔ́ p
struktura	s t r u k t úː r a
strukturalen	s t r u k t u r áː l ə n
strup	s t r úː p
strupen	s t r u p éː n
strupen	s t r úː p ə n
stvar	s t ʋ áː r
suh	s úː x
sum	s úː m
suspenzorij	s u s p ɛ n z òː r i j
suti	s ùː t i
suša	s ùː ʃ a
suženj	s ùː ʒ ə n
suženjstvo	s ùː ʒ ə n s t ʋ ɔ
sva	s ʋ á
svak	s ʋ àː k
svakinja	s ʋ àː k i n j a
svakinja	s ʋ áː k i n j a
svet	s ʋ éː t
svet	s ʋ ɛ́ t
svetel	s ʋ ə̀ t ə ʋ
svetel	s ʋ ɛ̀ː t ə ʋ
svetilnik	s ʋ ɛ t íː l n i k
svetloba	s ʋ ɛ t l ɔ̀ː b a
svetnik	s ʋ éː t n i k
svetnik	s ʋ ɛ t n ìː k
sveča	s ʋ èː t͡ʃ a
svila	s ʋ íː l a
sviloprejka	s ʋ i l ɔ p r ɛ́ː j k a
svinec	s ʋ ìː n ə t͡s
svinčnik	s ʋ ìː n t͡ʃ n i k
svizec	s ʋ íː z ə t͡s
svoboda	s ʋ ɔ b ɔ̀ː d a
svoboden	s ʋ ɔ b ɔ̀ː d ə n
svobodnejši	s ʋ ɔ b ɔ̀ː d n ɛ j ʃ i
svoj	s ʋ òː j
svojina	s ʋ ɔ j ìː n a
sydney	s íː d n i
ta	t áː
tadžikistan	t a d͡ʒ íː k i s t a n
tajska	t áː j s k a
tajvan	t áː j ʋ a n
tako	t a k óː
takoj	t a k óː j
takoj	t a k ɔ́ j
takrat	t a k r á t
talij	t àː l i j
tam	t á m
tanek	t àː n ə k
tantal	t áː n t a l
tanzanija	t a n z àː n i j a
tarča	t áː r t͡ʃ a
tast	t áː s t
tat	t á t
tavžent	t áː ʋ ʒ ɛ n t
tašča	t àː ʃ t͡ʃ a
taščica	t àː ʃ t͡ʃ i t͡s a
teden	t éː d ə n
tehnecij	t ɛ x n èː t͡s i j
tek	t éː k
tekač	t ɛ k àː t͡ʃ
tekoč	t ɛ k òː t͡ʃ
tekoč	t ɛ k óː t͡ʃ
tekočina	t ɛ k ɔ t͡ʃ ìː n a
teksas	t éː k s a s
tele	t ɛ̀ː l ɛ
telesen	t ɛ l éː s ə n
telo	t ɛ l óː
telovaditi	t ɛ l ɔ ʋ àː d i t i
telur	t ɛ l ùː r
telur	t ɛ l úː r
tema	t ə m á
temen	t ə m ə́ n
temen	t ə̀ m ə n
temniti	t ə m n ìː t i
temniti	t ə m n íː t i
tempelj	t ɛ̀ː m p ə l
temperatura	t ɛ m p ɛ r a t úː r a
temza	t éː m z a
tenis	t éː n i s
teoretik	t ɛ ɔ r èː t i k
teoretičen	t ɛ ɔ r èː t i t͡ʃ ə n
teorija	t ɛ ɔ r íː j a
tepsti	t ɛ̀ː p s t i
terarij	t ɛ r àː r i j
terbij	t ɛ̀ː r b i j
termit	t ɛ r m íː t
terorist	t ɛ r ɔ r íː s t
tesen	t ɛ̀ː s ə n
testo	t ɛ s t óː
teta	t ɛ̀ː t a
teti	t èː t i
tetoviranje	t ɛ t ɔ ʋ íː r a n j ɛ
tetovirati	t ɛ t ɔ ʋ íː r a t i
tečaj	t ɛ t͡ʃ áː j
teči	t ɛ̀ː t͡ʃ i
težek	t ɛ̀ː ʒ ə k
težji	t éː ʒ j i
ti	t íː
tiger	t ìː ɡ ə r
tih	t íː x
tikati	t ìː k a t i
tikati	t íː k a t i
timijan	t íː m i j a n
tip	t íː p
tipka	t íː p k a
tipkovnica	t i p k ɔ́ː ʋ n i t͡s a
tisa	t íː s a
tisoč	t íː s ɔ t͡ʃ
tisočletje	t i s ɔ t͡ʃ l éː t j ɛ
tisti	t íː s t i
titan	t i t áː n
tišina	t i ʃ ìː n a
tjulenj	t j ùː l ə n
tjulenj	t j úː l ə n
tkalec	t k áː l ə t͡s
tkati	t k àː t i
tkivo	t k ìː ʋ ɔ
tla	t l á
tlak	t l áː k
to	t óː
tod	t òː t
tod	t óː t
toda	t óː d a
toda	t ɔ d a
tog	t óː k
tok	t óː k
tok	t ɔ́ k
tokata	t ɔ k áː t a
tolkalo	t ɔ ʋ k àː l ɔ
tolmač	t ɔ l m àː t͡ʃ
tolpa	t ɔ̀ː l p a
tolči	t ɔ̀ː ʋ t͡ʃ i
tom	t óː m
tomahavk	t ɔ m a x áː ʋ k
tomaž	t ɔ m áː ʃ
top	t ɔ́ p
topel	t òː p ə ʋ
topel	t ɔ̀ː p ə ʋ
topiti	t ɔ p ìː t i
topiti	t ɔ p íː t i
toplota	t ɔ p l ɔ̀ː t a
topol	t ɔ̀ː p ɔ l
torba	t óː r b a
torek	t ɔ̀ː r ə k
torij	t òː r i j
tovariš	t ɔ ʋ áː r i ʃ
tožilnik	t ɔ ʒ íː l n i k
tradicija	t r a d ìː t͡s i j a
tradicionalen	t r a d i t͡s i ɔ n áː l ə n
trajekt	t r a j éː k t
trakulja	t r a k ùː l j a
tramvaj	t r a m ʋ áː j
tramvaj	t r áː m ʋ a j
transilvanija	t r a n s i l ʋ àː n i j a
trava	t r àː ʋ a
travnik	t r àː ʋ n i k
travnik	t r áː ʋ n i k
travojedec	t r a ʋ ɔ j éː d ə t͡s
trd	t ə́ r t
trdnjava	t ə r d n j áː ʋ a
trebuh	t r èː b u x
trener	t r ɛ n ɛ́ː r
trenutek	t r ɛ n úː t ə k
trepalnica	t r ɛ p áː l n i t͡s a
tresti	t r èː s t i
treti	t r èː t i
tretjak	t r ɛ t j àː k
trg	t ə́ r k
trgati	t ə̀ r ɡ a t i
trgovina	t ə r ɡ ɔ ʋ ìː n a
tri	t r íː
triangel	t r i j àː n ɡ ə l
trideset	t r íː d ɛ s ɛ t
trije	t r íː j ɛ
trikotnik	t r i k óː t n i k
trinajst	t r i n àː j s t
trinajst	t r íː n a j s t
trinko	t r íː n k ɔ
tris	t r íː s
trizob	t r i z óː p
trobenta	t r ɔ b éː n t a
trot	t r óː t
trošt	t r óː ʃ t
trpeti	t ə r p èː t i
trska	t ə̀ r s k a
trst	t ə́ r s t
trstenjak	t ə r s t ɛ n j àː k
truplo	t r ùː p l ɔ
trši	t ə́ r ʃ i
tu	t ú
tuberkuloza	t u b ɛ r k u l óː z a
tudi	t u d i
tudi	t úː d i
tukaj	t úː k a j
tulij	t ùː l i j
tuljava	t u l j áː ʋ a
tunizija	t u n ìː z i j a
turek	t ùː r ə k
turist	t u r íː s t
turizem	t u r ìː z ə m
turkinja	t ùː r k i n j a
turoben	t u r ɔ̀ː b ə n
turčija	t úː r t͡ʃ i j a
turški	t ùː r ʃ k i
turško	t ùː r ʃ k ɔ
turščina	t ùː r ʃ t͡ʃ i n a
tveganje	t ʋ èː ɡ a n j ɛ
tveganje	t ʋ éː ɡ a n j ɛ
tvegati	t ʋ èː ɡ a t i
tvegati	t ʋ éː ɡ a t i
tvoj	t ʋ òː j
tvorba	t ʋ óː r b a
tvoriti	t ʋ òː r i t i
tvoriti	t ʋ óː r i t i
ubiti	u b ìː t i
ubog	u b óː k
ud	úː t
udariti	u d àː r i t i
uganka	u ɡ áː n k a
ugrabitev	u ɡ r a b íː t ə ʋ
ugriz	u ɡ r íː s
ugrizniti	u ɡ r ìː z n i t i
uho	u x óː
ujec	ùː j ə t͡s
ujec	úː j ə t͡s
ujeda	u j èː d a
ujeda	u j éː d a
ujeti	u j èː t i
ukaz	u k á s
ukrajina	u k r a j ìː n a
ukrajinski	u k r a j íː n s k i
ukrasti	u k r àː s t i
ukvarjati	u k ʋ àː r j a t i
ulic	u l i t s
ulica	ùː l i t͡s a
ulice	u l i t͡s ɛ
ulici	u l i t͡s i
ulico	u l i t͡s ɔ
ulomek	u l óː m ə k
ultrakratkovaloven	úː l t r a k r a t k ɔ ʋ a l ɔ́ː ʋ ə n
umazan	u m áː z a n
umeti	u m èː t i
umetnik	u m éː t n i k
umiti	u m ìː t i
umivati	u m ìː ʋ a t i
umor	u m ɔ́ r
umoriti	u m ɔ r ìː t i
umoriti	u m ɔ r íː t i
umreti	u m r èː t i
uniforma	u n i f óː r m a
univerza	u n i ʋ ɛ́ː r z a
upanje	úː p a n j ɛ
upati	úː p a t i
uplinjač	u p l i n j àː t͡ʃ
upor	u p ɔ́ r
uporaba	u p ɔ r áː b a
uporabiti	u p ɔ r a b ìː t i
uporabiti	u p ɔ r a b íː t i
uporabiti	u p ɔ r àː b i t i
uporabljati	u p ɔ r àː b l j a t i
uporabnik	u p ɔ r áː b n i k
ura	ùː r a
ura	úː r a
uraden	u r áː d ə n
uran	u r áː n
urban	u r b á n
urban	u r b áː n
urnik	úː r n i k
urok	u r ɔ́ k
usluga	u s l úː ɡ a
usmrtitev	u s m ə r t íː t ə ʋ
usnje	ùː s n j ɛ
usoda	u s óː d a
usoden	u s òː d ə n
usoden	u s óː d ə n
usodnejši	u s òː d n ɛ j ʃ i
uspeh	u s p ɛ́ x
uspeti	u s p èː t i
usta	ùː s t a
ustava	u s t áː ʋ a
ustje	ùː s t j ɛ
ustje	úː s t j ɛ
ustnica	úː s t n i t͡s a
ustrezen	u s t r èː z ə n
ustreznejši	u s t r èː z n ɛ j ʃ i
ustreznik	u s t r èː z n i k
utrujati	u t r ùː j a t i
utrujen	u t r ùː j ɛ n
uvel	u ʋ èː ʋ
uvel	u ʋ ɛ́ ʋ
učenec	u t͡ʃ ɛ̀ː n ə t͡s
učinek	u t͡ʃ íː n ə k
učitelj	u t͡ʃ íː t ɛ l
učiteljica	u t͡ʃ íː t ɛ l j i t͡s a
učiti	u t͡ʃ ìː t i
učiti	u t͡ʃ íː t i
uš	úː ʃ
uživati	u ʒ ìː ʋ a t i
v	ʋ
vaditi	ʋ àː d i t i
vaga	ʋ áː ɡ a
vagina	ʋ a ɡ íː n a
vajin	ʋ áː j i n
val	ʋ áː l
valentin	ʋ a l ɛ n t íː n
valj	ʋ àː l
valj	ʋ áː l
vampir	ʋ a m p ìː r
vanadij	ʋ a n àː d i j
varen	ʋ àː r ə n
varnejši	ʋ àː r n ɛ j ʃ i
varuh	ʋ áː r u x
varšava	ʋ a r ʃ áː ʋ a
vas	ʋ áː s
vaterpolist	ʋ a t ɛ r p ɔ l íː s t
vaterpolo	ʋ àː t ɛ r p óː l ɔ
vaza	ʋ àː z a
vaš	ʋ á ʃ
vdihniti	ʋ d ìː x n i t i
vdova	ʋ d ɔ́ː ʋ a
ve	ʋ éː
veber	ʋ èː b ə r
vedeti	ʋ èː d ɛ t i
vedno	ʋ èː d n ɔ
vedro	ʋ ɛ̀ː d r ɔ
vegetarijanec	ʋ ɛ ɡ ɛ t a r i j áː n ə t͡s
veja	ʋ ɛ́ː j a
vejati	ʋ ɛ́ː j a t i
vejica	ʋ ɛ́ː j i t͡s a
vektor	ʋ èː k t ɔ r
velblod	ʋ ɛ l b l óː t
velelnik	ʋ ɛ l éː l n i k
velelnik	ʋ ɛ l éː ʋ n i k
veleposlanik	ʋ ɛ́ l ɛ p ɔ s l àː n i k
veleposlaništvo	ʋ ɛ́ l ɛ p ɔ s l àː n i ʃ t ʋ ɔ
velik	ʋ ɛ̀ː l i k
velikan	ʋ ɛ l i k áː n
veliko	ʋ ɛ l ìː k ɔ
veličina	ʋ ɛ l i t͡ʃ ìː n a
vendar	ʋ ə̀ n d a r
vendar	ʋ ə́ n d a r
venera	ʋ éː n ɛ r a
veniti	ʋ èː n i t i
vera	ʋ èː r a
veriga	ʋ ɛ r ìː ɡ a
verjeti	ʋ ɛ r j èː t i
ves	ʋ ə́ s
vesel	ʋ ɛ s éː ʋ
veselje	ʋ ɛ s ɛ̀ː l j ɛ
vesiti	ʋ èː s i t i
vest	ʋ éː s t
vesti	ʋ èː s t i
vesti	ʋ ɛ̀ː s t i
veter	ʋ éː t ə r
veti	ʋ èː t i
veverica	ʋ èː ʋ ɛ r i t͡s a
vez	ʋ éː s
vezati	ʋ èː z a t i
vezati	ʋ ɛ z àː t i
veznik	ʋ éː z n i k
več	ʋ ɛ́ t͡ʃ
večen	ʋ èː t͡ʃ ə n
večer	ʋ ɛ t͡ʃ éː r
večerja	ʋ ɛ t͡ʃ éː r j a
večji	ʋ éː t͡ʃ j i
vhod	ʋ x ɔ́ t
vi	ʋ íː
vice	ʋ ìː t͡s ɛ
vice	ʋ íː t͡s ɛ
vid	ʋ íː t
videti	ʋ ìː d ɛ t i
vidra	ʋ ìː d r a
vidra	ʋ íː d r a
vihar	ʋ i x áː r
vijak	ʋ i j àː k
vikati	ʋ ìː k a t i
vikati	ʋ íː k a t i
